#{"t_start": 1662329308.1141858, "env_id": null}
r,l,t
-3499.799072,42,10.938385
-2599.782136,33,10.965274
-5199.891412,59,11.006162
-13599.778908,143,11.076018
-4499.7493,52,11.10094
-8299.921564,90,11.148827
-7799.661804,85,11.19669
-5199.807264,59,11.231561
-8699.802564,93,11.280469
-3099.816972,38,11.298421
-15399.735964,161,11.384695
-13399.65704,141,11.467507
-4699.745732,54,11.497396
-8299.890636,90,11.542323
-1899.628968,26,11.55528
-8099.77942,88,11.600121
-4299.702104,50,11.629106
-19099.820808,198,11.742738
-7799.736724,85,11.782631
-6499.689724,72,11.817539
-3699.776804,44,11.838482
-2899.752172,36,11.858428
-5699.727116,64,11.89533
-8499.8212,92,11.954986
-3199.690316,39,11.97394
-2599.862072,33,11.989896
-4299.799392,50,12.012837
-11299.681624,120,12.071675
-8799.718496,95,12.128516
-7899.940312,85,12.1744
-21099.739928,216,12.274135
-5299.629456,60,12.303051
-5999.65508,67,12.338959
-1799.711548,25,12.353885
-6799.855784,75,12.394817
-13299.621452,140,12.482038
-4599.608388,53,12.507966
-14499.805412,152,12.596729
-12599.7127,133,12.67157
-4099.856456,48,12.694513
-7499.644048,82,12.734363
-5799.67024,65,12.7713
-5399.904556,61,12.807206
-3199.7898,39,12.829145
-3699.780192,44,12.85308
-2899.661004,36,12.871039
-2199.740416,29,12.884006
-6199.894348,69,12.91592
-6199.78722,69,12.948824
-1399.776096,21,12.959795
-5899.963528,66,13.007739
-6499.836308,72,13.052592
-3399.708512,41,13.074532
-2999.781956,37,13.094481
-6599.891216,72,13.131398
-4399.810088,51,13.156316
-8699.77678,94,13.21319
-19699.831924,204,13.32686
-9799.767856,105,13.376724
-13399.760308,141,13.44255
-12399.824272,131,13.525328
-6099.775712,68,13.573199
-2199.774296,29,13.588159
-6799.900112,75,13.624104
-6099.695492,68,13.658969
-4799.772604,55,13.691884
-2799.748532,35,13.710871
-5099.632368,58,13.745739
-6899.941224,76,13.786629
-3599.842008,43,13.807572
-3399.806096,41,13.827521
-7399.625384,81,13.866418
-2699.739744,34,13.883372
-4699.655044,54,13.913292
-3799.869832,45,13.93922
-4899.878888,56,13.974127
-10499.748356,112,14.034967
-3799.814176,45,14.056908
-7299.72254,80,14.115544
-14399.789104,151,14.206273
-9199.712376,99,14.258135
-17199.926428,178,14.339956
-7199.795,79,14.38284
-7999.767208,87,14.423731
-4499.799868,52,14.447669
-8399.705696,91,14.490554
-2599.80656,33,14.505514
-4499.869728,52,14.530446
-10999.729816,117,14.588289
-13199.693928,139,14.681045
-2199.83512,29,14.697963
-2599.635068,33,14.714913
-15499.802836,162,14.793748
-3799.690656,45,14.815691
-2399.745856,31,14.831649
-3099.757692,38,14.855628
-1499.826468,22,14.867555
-4699.632764,54,14.89847
-14899.873804,156,14.9783
-7299.758024,80,15.015198
-4499.660888,52,15.041211
-7199.798596,79,15.084973
-3799.79214,45,15.109939
-5899.822456,66,15.164442
-10399.616308,111,15.223282
-13899.818496,146,15.295091
-8399.774332,91,15.34698
-24699.773212,254,15.473655
-14699.738568,154,15.551405
-9599.799828,103,15.610248
-7499.704328,82,15.655128
-5399.753968,61,15.695083
-6899.8306,76,15.731984
-4999.87216,57,15.757958
-6999.693328,77,15.798807
-7099.647808,78,15.845709
-5099.81724,58,15.87962
-1999.754836,27,15.893594
-1799.722364,25,15.907552
-7499.804812,82,15.948442
-5899.758828,65,15.978328
-3999.758856,47,15.999309
-6799.8121,75,16.037206
-5399.809532,61,16.072098
-2999.65434,37,16.095051
-4599.758456,53,16.124963
-4599.78102,53,16.154896
-11145.683012,120,16.215693
-6999.80552,77,16.276531
-4799.884224,55,16.311436
-3599.662832,43,16.337368
-5699.77264,64,16.386235
-15799.92672,165,16.476992
-4799.8971,55,16.506953
-4599.858096,53,16.538868
-1699.856356,24,16.553815
-14099.772512,148,16.636607
-8399.8508,91,16.683443
-4999.71792,57,16.712365
-7899.635248,86,16.759278
-3499.795564,42,16.782188
-1699.766272,24,16.79614
-12399.818804,131,16.884954
-7999.692064,87,16.925845
-19199.784672,198,17.02861
-9099.789984,98,17.082463
-3299.764824,40,17.105405
-7999.810408,87,17.146297
-8399.861048,91,17.189183
-3299.876748,40,17.207133
-7999.601756,87,17.253979
-5099.830944,58,17.287878
-1499.802572,22,17.300843
-5999.66454,67,17.340738
-2499.758468,32,17.36966
-13299.724116,140,17.441509
-7199.667676,79,17.479383
-1999.822336,27,17.492333
-8799.587516,95,17.547212
-7199.743608,79,17.591106
-4199.874016,49,17.616001
-17199.776204,179,17.700813
-13999.617356,146,17.785575
-8099.910776,88,17.834439
-6899.672284,76,17.87032
-6799.75794,75,17.915202
-8799.834968,95,17.970057
-16399.841376,171,18.08081
-4899.696316,56,18.107731
-7899.774956,86,18.151572
-6499.794628,72,18.193459
-11899.77938,126,18.264269
-5299.800656,60,18.295188
-8899.861096,96,18.341065
-4899.606804,56,18.370986
-5799.880416,65,18.408919
-12099.593568,128,18.495929
-2399.693956,31,18.513889
-6299.769976,70,18.547802
-15399.738372,161,18.628547
-6699.871068,74,18.675461
-9548.621631,104,18.736307
-2399.837368,31,18.751262
-3499.812556,42,18.771204
-2599.781072,33,18.787121
-2799.75212,35,18.803123
-10099.663316,108,18.856937
-22699.635292,234,18.988583
-11199.808292,119,19.0746
-15399.735332,161,19.174331
-6499.930712,72,19.21028
-5899.86196,66,19.242195
-3699.906708,44,19.263095
-9099.656704,98,19.314957
-14699.68796,154,19.40675
-3099.80926,38,19.4257
-3599.818092,43,19.446604
-8299.588028,90,19.488531
-7399.78786,81,19.528421
-10899.787168,116,19.603186
-2899.832372,36,19.625155
-5099.928968,58,19.657086
-15599.793324,163,19.740853
-16299.624488,170,19.83656
-7699.700448,84,19.883484
-10299.729144,110,19.935298
-4899.656484,56,19.964262
-999.795688,17,19.972247
-2499.948388,32,19.992146
-8599.833728,93,20.053981
-1999.726444,27,20.071933
-5099.952752,58,20.101852
-8299.716668,90,20.156749
-1499.696112,22,20.166729
-2199.63184,29,20.180681
-10299.759056,110,20.248488
-5899.636004,66,20.290367
-7999.815072,87,20.340216
-2199.775868,29,20.359165
-4299.823196,50,20.383154
-5799.843492,65,20.416011
-4799.789288,55,20.449941
-10999.714604,117,20.520733
-5199.795544,59,20.553644
-8899.867384,96,20.598525
-4599.777488,53,20.624474
-6899.775428,76,20.666343
-4399.518812,51,20.709229
-13999.900468,146,20.788018
-24699.767084,254,20.921703
-5999.533732,67,20.963574
-5499.898524,62,20.994516
-2099.747688,28,21.008468
-3899.817824,46,21.029412
-16099.662228,168,21.111155
-5699.88924,64,21.143068
-7199.918908,79,21.191978
-12499.930128,132,21.277709
-7699.696656,84,21.317642
-13599.804756,143,21.392403
-17299.870272,180,21.495172
-7999.749788,87,21.538054
-5199.778784,59,21.566975
-5699.57524,64,21.596924
-12699.815908,134,21.67365
-5799.767784,65,21.711576
-5999.763468,67,21.748495
-6599.878236,73,21.797969
-4299.690748,50,21.821928
-7799.927288,85,21.867776
-7699.842592,84,21.916602
-13099.845944,138,22.014346
-15899.720512,166,22.097148
-4099.922224,48,22.120098
-4199.701452,49,22.145028
-5199.698436,59,22.17794
-3399.852996,41,22.200844
-4499.868528,52,22.229799
-6399.815384,71,22.267691
-4499.86494,52,22.292641
-4499.722944,52,22.316578
-2899.80664,36,22.342903
-33299.650864,340,22.529402
-7399.624064,81,22.5673
-8899.6379,96,22.620159
-16599.850832,173,22.699946
-5899.836572,66,22.73385
-11699.763288,124,22.80167
-6799.831912,75,22.844521
-899.802176,16,22.855494
-5499.795068,62,22.898823
-7199.791044,79,22.939713
-14899.7947,156,23.018464
-8299.75238,90,23.07531
-2699.638552,34,23.098248
-8399.742516,91,23.161081
-19999.846984,207,23.264805
-5399.7659,61,23.29971
-6999.816344,77,23.344618
-16299.725756,170,23.439377
-11399.769392,121,23.496224
-7799.795476,85,23.543061
-12099.975004,128,23.614904
-2799.8236,35,23.632859
-5799.78452,65,23.66278
-8099.879756,88,23.703683
-2899.57916,36,23.720616
-6099.8458,68,23.761479
-19199.823952,199,23.870225
-4399.922384,51,23.893167
-17999.837308,187,24.003397
-12199.759616,129,24.079187
-11299.74146,120,24.139042
-7599.710752,83,24.178892
-6199.801312,69,24.220808
-7199.743204,79,24.263707
-10899.82428,116,24.317563
-8199.786036,88,24.358453
-5999.828208,67,24.390365
-12899.880476,136,24.468157
-4799.827712,55,24.509041
-6099.803344,68,24.544954
-2399.801296,31,24.558917
-12099.696236,128,24.622746
-30099.572352,308,24.788304
-5299.827292,60,24.816229
-5299.777952,59,24.84415
-2399.79884,31,24.862103
-8899.738296,96,24.922938
-3199.863496,38,24.948879
-2499.881128,32,24.967812
-3199.6983,39,24.987768
-15099.906644,158,25.079487
-4599.677332,53,25.109442
-12799.814124,135,25.184232
-3599.544784,43,25.205189
-8499.859816,92,25.248034
-8599.79728,93,25.292951
-10099.728384,108,25.353788
-25599.737652,263,25.488391
-2599.859388,33,25.503351
-9499.838528,102,25.559238
-6199.76198,69,25.611063
-1999.774524,27,25.627058
-4699.820528,54,25.657979
-18599.715392,193,25.757675
-6699.792292,74,25.801554
-2799.653084,35,25.820506
-4499.792108,51,25.849468
-18499.776716,192,25.941221
-2399.870948,31,25.955184
-2999.736512,37,25.974093
-5899.75002,66,26.013991
-11599.772836,123,26.088787
-3799.581408,45,26.114719
-2099.596824,28,26.140651
-3699.761964,44,26.16263
-11799.834704,123,26.22347
-3599.739836,43,26.248396
-6499.74306,72,26.290276
-5899.676872,66,26.328183
-8999.913256,97,26.374067
-7299.766444,80,26.411963
-6499.788716,72,26.445868
-1899.825428,26,26.458803
-3799.87828,45,26.484728
-6499.762372,72,26.526616
-2199.817656,29,26.545568
-3599.851728,43,26.570534
-7499.847404,82,26.610433
-2999.798992,37,26.628395
