#{"t_start": 1667235499.4108922, "env_id": null}
r,l,t
-284.833333,37,409.797207
-914.0,100,410.485173
-130.0,21,410.627427
-300.0,38,410.88787
-100.0,18,411.016126
-240.0,32,411.252807
-270.0,35,411.499548
-145.5,23,411.65825
-197.333333,28,411.851985
-119.083333,20,411.990389
-149.5,23,412.155247
-260.0,34,412.399217
-460.0,54,412.761476
-243.0,33,412.989542
-84.75,17,413.111257
-250.0,33,413.347282
-140.0,22,413.506629
-210.0,29,413.705197
-119.0,20,413.849994
-90.0,17,413.967744
-70.0,15,414.076294
-310.0,39,414.351097
-180.0,26,414.528123
-220.0,30,414.734713
-207.0,29,414.934794
-215.833333,30,415.144861
-270.0,35,415.397021
-120.0,20,415.536979
-230.0,31,415.75031
-110.0,19,415.881854
-160.0,24,416.047281
-90.0,17,416.16795
-140.0,22,416.320716
-200.0,28,416.511875
-210.0,29,416.710276
-117.0,20,416.844252
-87.083333,17,416.968312
-220.0,30,417.175157
-90.0,17,417.293509
-150.0,23,417.462788
-34.0,12,417.620245
-430.0,51,417.957577
-290.0,37,418.20784
-180.0,26,418.389828
-70.0,15,418.496901
-196.666667,28,418.680165
-148.333333,23,418.840174
-230.0,31,419.056608
-240.0,32,419.276731
-130.0,21,419.425895
-130.0,21,419.570538
-157.083333,24,419.726241
-97.25,18,419.856639
-320.0,40,420.128739
-150.0,23,420.28694
-170.0,25,420.462743
-107.0,19,420.593499
-190.0,27,420.783431
-110.0,19,420.913271
-182.083333,27,421.09998
-177.666667,26,421.274911
-210.0,29,421.482066
-100.0,18,421.605298
-187.416667,27,421.7885
-170.0,25,421.962411
-100.0,18,422.091073
-116.5,20,422.227998
-177.0,26,422.404765
-140.0,22,422.56321
-110.0,19,422.689888
-220.0,30,422.899898
-178.0,26,423.070885
-66.0,15,423.184498
-204.0,29,423.373721
-250.0,33,423.606151
-280.0,36,423.852922
-149.0,23,424.015021
-200.0,28,424.205182
-193.583333,28,424.391727
-138.166667,22,424.652428
-90.0,17,424.778139
-130.0,21,424.918407
-80.0,16,425.032331
-113.0,20,425.173085
-166.5,25,425.346934
-164.5,25,425.522527
-160.0,24,425.689949
-187.5,27,425.872679
-297.333333,38,426.123161
-196.333333,28,426.314392
-89.166667,17,426.43142
-84.666667,17,426.558564
-148.5,23,426.711181
-80.0,16,426.82256
-350.0,43,427.113884
-220.0,30,427.318705
-133.0,22,427.473792
-234.0,32,427.704316
-113.333333,20,427.842543
-118.0,20,427.981326
-230.0,31,428.197199
-185.25,27,428.374284
-145.666667,23,428.526401
-220.0,30,428.738184
-80.0,16,428.852142
-370.0,45,429.154399
-315.833333,40,429.427325
-160.0,24,429.598387
-56.0,14,429.707855
-110.0,19,429.834721
-170.0,25,430.007637
-290.0,37,430.263324
-210.0,29,430.459888
-257.0,34,430.696956
-227.083333,31,430.902802
-220.0,30,431.115381
-370.0,45,431.416634
-170.0,25,431.656219
