#{"t_start": 1669313944.8602297, "env_id": null}
r,l,t
-3987.806553,405,374.065658
-2367.65019,243,375.673339
-3006.982397,309,377.722869
-3917.317581,399,380.414317
-3167.952059,323,382.506899
-2197.638326,226,383.982847
-797.355965,87,384.595808
-2727.131511,280,386.46579
-2496.284289,268,388.297152
-1326.963634,140,389.206014
-545.932635,63,389.639485
-2897.114584,298,391.583238
-1027.329361,110,392.280418
-417.6904,48,392.593159
-3446.739353,353,394.892729
-2026.538996,220,396.316632
-1426.632192,151,397.305528
-506.564458,69,397.760254
-1326.914972,140,398.677832
-2307.016314,239,400.248418
-886.834353,97,400.925814
-1837.427002,191,402.185931
-5447.464113,552,405.84917
-1717.721604,178,407.001318
-2167.161309,225,408.451248
-2957.921158,302,410.43555
-3137.788747,320,412.481698
-7287.373216,736,417.282957
-2806.9477,289,419.179316
-2326.6443,241,420.793163
-1247.550712,132,421.741586
-1467.212758,154,422.734746
-506.271153,59,423.112988
-1557.225118,164,424.180093
-1997.845662,206,425.514611
-4707.786676,477,428.570239
-866.877587,95,429.639558
-2666.643146,275,432.655092
-1536.556067,162,433.73787
-1025.782216,111,434.465988
-1937.354006,201,435.769292
-1465.773585,155,436.780722
-4257.629469,433,439.661081
-1736.71907,182,440.907738
-2747.283878,282,442.819622
-1827.526208,190,444.076581
-1776.981288,185,445.336138
-2216.345587,230,446.885557
-2197.91099,226,448.403987
-1576.552473,166,449.509746
-1755.491174,184,450.741839
-1857.64939,193,452.175622
-3285.995937,347,454.601107
-475.838715,66,455.072993
-975.737677,106,455.835473
-445.285935,53,456.210676
-260,27,456.415803
-196.808367,26,456.609967
-215.707428,30,456.843428
-337.617226,38,457.113114
-200,21,457.263812
-240,25,457.440841
-288.027988,33,457.678061
-264.849709,35,457.983242
-240,25,458.150981
-575.779436,65,458.573647
-816.765764,90,459.247721
-2045.65363,223,460.768913
-566.057749,65,461.203675
-665.772623,75,461.708972
-295.161292,38,461.977941
-1236.422323,132,462.871743
-2417.603028,249,464.526081
-2377.263815,245,466.246746
-796.347816,97,466.901492
-815.877023,90,467.502077
-525.833698,61,467.922219
-735.18426,92,468.529704
-265.901646,35,468.771176
-385.64065,47,469.088152
-1057.290672,112,469.839608
-575.379441,66,470.285363
-645.396697,83,470.843282
-1936.518242,211,472.290931
-234.903617,42,472.65593
-1886.674909,197,474.016962
-315.823684,40,474.300697
-216.025607,30,474.497509
-796.444975,88,475.099796
-1136.964213,122,475.914204
-685.753739,77,476.460529
-1046.318886,113,477.219138
-856.226614,94,477.857289
-1416.007193,150,478.849221
-446.126219,53,479.234038
-1046.830418,113,480.064827
-966.911565,105,480.809721
-1607.051374,169,481.976978
-1877.066742,195,483.319171
-415.702117,59,483.718539
-525.13296,61,484.133786
-1306.613237,138,485.072232
-535.845638,62,485.511482
-465.589175,65,485.960419
-615.33716,70,486.52444
-214.958497,30,486.732997
-165.498118,25,486.916609
-395.717197,48,487.259021
-945.752606,103,487.963719
-3665.558164,375,490.468328
-965.502443,105,491.189451
-475.513943,56,491.584127
-1065.631036,115,492.359077
-856.070534,94,493.073471
-5.280063,19,493.201307
-1216.574248,130,494.136742
-945.03746,103,494.84478
-1285.905891,137,495.753911
-265.389796,35,495.98705
-965.632367,105,496.701091
-625.072055,71,497.171771
-137.801159,18,497.295124
-589.665726,60,497.715178
-205.716952,38,497.96615
-295.146898,48,498.295134
-290,30,498.508645
-330,34,498.743281
-748.367314,78,499.256279
-435.692306,52,499.610618
-645.159462,73,500.111584
-1496.167291,168,501.356066
-245.787245,42,501.651281
-1874.845664,196,502.943057
-378.310991,41,503.218811
-257.724208,30,503.432959
-188.32132,22,503.588781
-146.688789,21,503.734544
-317.157589,37,503.994211
-244.91604,33,504.240839
-539.306484,56,504.644183
-865.955713,95,505.296658
-180,19,505.422495
-195.460759,27,505.616951
-400,41,505.900653
-350,36,506.150703
-320,33,506.387492
-270,28,506.596486
-320,33,506.820147
-75.273379,26,506.99705
-135.68657,22,507.157094
-175.869295,26,507.414573
-15.160076,20,507.560875
-925.331256,101,508.276872
-556.232751,73,508.788255
-575.398143,66,509.243543
-215.366576,30,509.448715
-35.215501,22,509.605688
-145.221372,33,509.848999
-339.786145,35,510.093975
-308.356526,34,510.338475
-359.60879,37,510.600628
-299.724601,31,510.825752
-270,28,511.018242
-107.217356,16,511.131543
-190,20,511.276779
-310,32,511.495942
-75.85733,25,511.683753
-285.59288,37,511.941802
-235.378308,32,512.16323
-866.093681,95,512.821991
-635.901126,72,513.319796
-565.35067,65,513.763607
-785.349586,87,514.421902
-136.25206,22,514.577538
-435.999255,52,514.945247
-255.707317,34,515.176427
-1115.949913,120,515.999733
-545.74435,63,516.422952
-556.192381,64,516.867127
-1155.695184,124,517.693726
-435.74649,61,518.109654
-385.449837,47,518.438516
-815.899521,90,519.053718
-1205.990363,139,519.990079
-155.397598,34,520.216075
-186.015265,36,520.458062
-15.275094,20,520.601168
4.154086,17,520.720705
-245.283671,43,521.02107
-165.241446,35,521.319794
-135.863657,22,521.48348
-75.089066,26,521.663333
-95.370438,28,521.858947
-405.069486,49,522.187286
-46.03502,22,522.337073
-195.832092,28,522.533308
-225.898819,41,522.814966
-146.088286,32,523.044244
-15.26551,20,523.187261
-55.253035,24,523.353392
-105.605854,19,523.493144
-205.333181,39,523.757481
-165.345631,35,524.002244
-115.339625,20,524.14021
-15.29888,20,524.282585
-446.181213,63,524.703769
-1326.05289,151,525.726588
-1337.257228,141,526.672299
-515.456345,70,527.203753
-95.615781,28,527.393355
4.794526,18,527.516927
44.769506,14,527.614697
-115.310576,30,527.819344
-2136.530097,222,529.385342
-955.978691,114,530.160408
-815.684266,90,530.768325
-745.275319,93,531.400056
-150,16,531.507683
-160,17,531.632827
-325.227112,41,531.913885
-170,18,532.040948
-200,21,532.189055
-320,33,532.423142
-170,18,532.541154
-190,20,532.689501
-350,36,532.935678
-280,29,533.144379
-160,17,533.261834
-280,29,533.458272
-267.835014,31,533.689483
-105.922684,18,533.810147
-240,25,533.981448
-519.180724,54,534.373739
-1177.827118,123,535.291752
-265.457711,45,535.595079
-219.655376,23,535.750233
-280,29,535.960872
-337.009973,39,536.232115
-290,30,536.438656
-170,18,536.56224
-158.198892,19,536.696498
-2114.989796,220,538.173944
-1145.724767,123,538.97978
-114.969343,20,539.113372
-235.149849,32,539.332494
-105.321039,19,539.461317
-295.346915,38,539.713727
-225.658564,31,539.91586
-195.719426,28,540.100721
-1066.471125,123,540.94895
-415.572336,50,541.300353
-696.03915,78,541.823048
-175.028014,26,541.996911
-235.140528,32,542.216221
-235.774648,32,542.438565
-1625.708479,171,543.554289
-25.814654,21,543.689446
-305.632413,39,543.954362
-695.730802,78,544.483335
-145.490324,33,544.700179
-75.608973,26,544.872216
-1165.465093,125,545.72179
-405.345906,49,546.044878
-145.191872,23,546.198896
-284.997859,37,546.451666
-75.171898,16,546.559379
-65.252932,15,546.668105
-115.039464,20,546.80081
-125.250387,21,546.94838
-245.119447,33,547.177188
-2215.848045,239,548.761588
-165.683074,25,548.923984
-886.255,97,549.564501
-705.38066,79,550.091468
-85.87174,17,550.215089
-296.075028,38,550.487519
-726.349219,81,551.038573
-75.369354,16,551.144612
-175.413043,26,551.329382
-2035.961228,212,552.753124
-125.496433,21,552.889782
-25.146818,11,552.971925
-164.975643,25,553.147263
-325.942233,41,553.428941
-226.045237,31,553.649031
-426.003199,51,553.984336
-886.717201,97,554.637681
-3297.097646,338,556.924823
-435.841584,52,557.277693
-325.435614,41,557.56504
-675.632866,76,558.096122
-305.166446,39,558.358947
13.891153,16,558.470048
-786.489303,96,559.119247
-505.427406,59,559.52957
-340,35,559.769667
-260,27,559.952534
-290,30,560.160259
-177.949601,22,560.327625
-100,11,560.406552
-186.500713,25,560.588936
-300,31,560.79387
-310,32,561.079928
-165.156306,25,561.251505
-45.627452,13,561.344146
-235.426458,32,561.568963
